"","StationCode","SampleDate","variable","type","value"
"2375","901S06030","2009-04-30","FL_M","result",NA
"2384","902S00565","2009-04-27","FL_M","result","0.285429959637542"
"2385","902S01097","2009-05-11","FL_M","result","0.0126644399839178"
"2392","904S00537","2009-05-04","FL_M","result","0.142381223819195"
"2410","907S00577","2009-05-12","FL_M","result","0.00167944799786732"
"2422","911S01818","2009-05-06","FL_M","result","0.00481583999388453"
"2423","911S02058","2009-05-05","FL_M","result","0.0205435199739125"
"2424","911S03354","2009-05-05","FL_M","result","0.0214914479727087"
"2425","911S04086","2009-05-06","FL_M","result",NA
"2710","905S01953","2009-04-29","MWVM_F","result","0.266666666666667"
"2711","907S01418","2009-05-12","MWVM_F","result","0.245454545454545"
"2712","907S01434","2009-05-13","MWVM_F","result","0.130434782608696"
"2714","911S00538","2009-05-05","MWVM_F","result","0.230769230769231"
"2800","403S00640","2009-06-11","MWVM_F","result","1.12"
"2801","403S00772","2009-05-20","MWVM_F","result","0.63"
"2802","403S01163","2009-06-08","MWVM_F","result","0.49"
"2803","403S01195","2009-06-10","MWVM_F","result","0.07"
"2804","403S01272","2009-06-09","MWVM_F","result","1.36"
"2805","403S01784","2009-06-09","MWVM_F","result","2.51"
"2806","403S03832","2009-06-08","MWVM_F","result","0.13"
"2807","403S14156","2009-06-09","MWVM_F","result","1.82"
"2808","404S02920","2009-05-12","MWVM_F","result","0.03"
"2809","404S03048","2009-05-13","MWVM_F","result","0.45"
"2810","404S05992","2009-05-12","MWVM_F","result","0.1"
"2811","404S06456","2009-05-14","MWVM_F","result","0.89"
"2812","404S08040","2009-05-12","MWVM_F","result","0.1"
"2813","404S08616","2009-05-13","MWVM_F","result","0.16"
"2814","404S11406","2009-05-11","MWVM_F","result","0.26"
"2815","404S16516","2009-05-18","MWVM_F","result","0.68"
"2816","404S17266","2009-05-19","MWVM_F","result","1.04"
"2817","404S17664","2009-05-20","MWVM_F","result",NA
"2818","404S22464","2009-05-19","MWVM_F","result","0.33"
"2819","901S00313","2009-04-30","MWVM_F","result",NA
"2820","901S00469","2009-05-13","MWVM_F","result",NA
"2821","901S00531","2009-05-07","MWVM_F","result","0.37"
"2822","901S00997","2009-05-14","MWVM_F","result",NA
"2823","901S01705","2009-05-14","MWVM_F","result","0.4"
"2824","901S01811","2009-05-07","MWVM_F","result","2.24"
"2825","901S06030","2009-04-30","MWVM_F","result",NA
"2834","902S00565","2009-04-27","MWVM_F","result","2.05"
"2835","902S01097","2009-05-11","MWVM_F","result","0.78"
"2842","904S00537","2009-05-04","MWVM_F","result","4.1"
"2860","907S00577","2009-05-12","MWVM_F","result","0.42"
"2872","911S01818","2009-05-06","MWVM_F","result","0.3"
"2873","911S02058","2009-05-05","MWVM_F","result","1.13"
"2874","911S03354","2009-05-05","MWVM_F","result","0.98"
"2875","911S04086","2009-05-06","MWVM_F","result",NA
"3160","905S01953","2009-04-29","MWVM_M","result","0.0812799998764544"
"3161","907S01418","2009-05-12","MWVM_M","result","0.0748145453408273"
"3162","907S01434","2009-05-13","MWVM_M","result","0.0397565216787005"
"3164","911S00538","2009-05-05","MWVM_M","result","0.0703384614315471"
"3250","403S00640","2009-06-11","MWVM_M","result","0.341375999481108"
"3251","403S00772","2009-05-20","MWVM_M","result","0.192023999708124"
"3252","403S01163","2009-06-08","MWVM_M","result","0.149351999772985"
"3253","403S01195","2009-06-10","MWVM_M","result","0.0213359999675693"
"3254","403S01272","2009-06-09","MWVM_M","result","0.414527999369917"
"3255","403S01784","2009-06-09","MWVM_M","result","0.765047998837127"
"3256","403S03832","2009-06-08","MWVM_M","result","0.0396239999397715"
"3257","403S14156","2009-06-09","MWVM_M","result","0.554735999156801"
"3258","404S02920","2009-05-12","MWVM_M","result","0.00914399998610112"
"3259","404S03048","2009-05-13","MWVM_M","result","0.137159999791517"
"3260","404S05992","2009-05-12","MWVM_M","result","0.0304799999536704"
"3261","404S06456","2009-05-14","MWVM_M","result","0.271271999587667"
"3262","404S08040","2009-05-12","MWVM_M","result","0.0304799999536704"
"3263","404S08616","2009-05-13","MWVM_M","result","0.0487679999258726"
"3264","404S11406","2009-05-11","MWVM_M","result","0.079247999879543"
"3265","404S16516","2009-05-18","MWVM_M","result","0.207263999684959"
"3266","404S17266","2009-05-19","MWVM_M","result","0.316991999518172"
"3267","404S17664","2009-05-20","MWVM_M","result",NA
"3268","404S22464","2009-05-19","MWVM_M","result","0.100583999847112"
"3269","901S00313","2009-04-30","MWVM_M","result",NA
"3270","901S00469","2009-05-13","MWVM_M","result",NA
"3271","901S00531","2009-05-07","MWVM_M","result","0.11277599982858"
"3272","901S00997","2009-05-14","MWVM_M","result",NA
"3273","901S01705","2009-05-14","MWVM_M","result","0.121919999814682"
"3274","901S01811","2009-05-07","MWVM_M","result","0.682751998962217"
"3275","901S06030","2009-04-30","MWVM_M","result",NA
"3284","902S00565","2009-04-27","MWVM_M","result","0.624839999050243"
"3285","902S01097","2009-05-11","MWVM_M","result","0.237743999638629"
