"","XGB.result","XGB.count","XGB.sd","XGH.result","XGH.count","XGH.sd","XGW.result","XGW.count","XGW.sd","XM.result","XM.count","XM.sd","XC.result","XC.count","XC.sd","XG.result","XCM.result","XCMG.result","XPMID.result","XPCAN.result","XPGVEG.result","XPCM.result","XPCMG.result","XPMGVEG.result"
"902SMAS1x 2008-06-02",15,6,10.9544511501033,15,6,10.9544511501033,52.0833333333333,6,13.2680694400755,14.1666666666667,6,12.0069424362186,7.5,6,8.8034084308295,67.0833333333333,21.6666666666667,88.75,1.2,0.833333333333333,1,0.833333333333333,0.833333333333333,1
"903ACPCT1 2010-05-11",41.0526315789474,19,18.3582366746147,18.9473684210526,19,16.6940564413757,15.25,20,16.8760964556069,19.875,20,18.6990535927131,17.875,20,19.8062157973331,34.1973684210526,37.75,71.9473684210526,1,0.8,1,0.8,0.8,0.65
"903ACPCT1 2010-05-25",34.4318181818182,22,16.6714008427788,41.25,22,16.6324052608727,24.0909090909091,22,4.26401432711221,21.9318181818182,22,11.6479054468476,23.4090909090909,22,26.2717648380467,65.3409090909091,45.3409090909091,110.681818181818,1,0.954545454545455,1,0.954545454545455,0.954545454545455,1
"903ACPCT1 2010-06-15",28.4090909090909,22,20.0971665638742,25.4545454545455,22,17.7555551943537,37.3863636363636,22,17.6351460618668,48.4090909090909,22,20.0378429855898,32.6136363636364,22,29.2106193256028,62.8409090909091,81.0227272727273,143.863636363636,1,0.909090909090909,1,0.909090909090909,0.909090909090909,1
"903ACPCT1 2010-06-30",30.7954545454545,22,20.3011019469323,21.5909090909091,22,14.8913816267412,33.5227272727273,22,17.7223811099917,33.5227272727273,22,17.7223811099917,35,22,28.8572017915476,55.1136363636364,68.5227272727273,123.636363636364,1,0.954545454545455,1,0.954545454545455,0.954545454545455,1
"903ACPCT1 2010-07-13",36.7857142857143,14,25.484319678001,21.0714285714286,14,18.1795078452225,34.6428571428571,14,21.9013773464212,41.7857142857143,14,25.5596694676732,32.8571428571429,14,33.0480003883795,55.7142857142857,74.6428571428571,130.357142857143,1,0.928571428571429,1,0.928571428571429,0.928571428571429,0.928571428571429
"903CVPCT1 2010-05-10",24.5,20,19.2216982655156,40.25,20,18.2255604202334,16.75,20,10.4220161702346,16.75,20,10.4220161702346,16.125,20,14.383721610502,57,32.875,89.875,1.05263157894737,0.9,1,0.85,0.85,0.95
"903CVPCT1 2010-06-01",23.1818181818182,22,5.884898863365,56.0227272727273,22,6.92902328155734,13.1818181818182,22,10.0647255948039,16.4772727272727,22,13.5545434947345,29.6590909090909,22,16.9082864748369,69.2045454545455,46.1363636363636,115.340909090909,1,1,1,1,1,1
"903CVPCT1 2010-06-15",30.5681818181818,22,16.0344090233246,51.9318181818182,22,19.6385768654122,10.9090909090909,22,9.95661584747544,32.1590909090909,22,23.0074451529833,32.3863636363636,22,26.293640285828,62.8409090909091,64.5454545454545,127.386363636364,1,0.954545454545455,1,0.954545454545455,0.954545454545455,0.954545454545455
"903CVPCT1 2010-06-30",38.6363636363636,22,22.3170774980047,41.7045454545455,22,20.3888736528325,12.5,22,17.5594229214212,25.1136363636364,22,20.0961568335968,28.0681818181818,22,22.2396554093644,54.2045454545455,53.1818181818182,107.386363636364,1,1,1,1,1,0.954545454545455
