"","PCT_RS.result","PCT_RR.result","PCT_RC.result","PCT_XB.result","PCT_SB.result","PCT_CB.result","PCT_GC.result","PCT_GF.result","PCT_SA.result","PCT_FN.result","PCT_HP.result","PCT_WD.result","PCT_OT.result","PCT_BDRK.result","PCT_BIGR.result","PCT_SFGF.result","PCT_SAFN.result","XSDGM.result","XSPGM.result","SB_PT_D50.result","SB_PT_D10.result","SB_PT_D25.result","SB_PT_D75.result","SB_PT_D90.result","SB_PP_D50.result","SB_PP_D10.result","SB_PP_D25.result","SB_PP_D75.result","SB_PP_D90.result","XEMBED.result","XEMBED.count","XEMBED.sd","PCT_CPOM.result"
"905DGUT1 2010-06-29",0,1.17647058823529,0,8.23529411764706,21.1764705882353,9.41176470588235,7.05882352941176,22.3529411764706,29.4117647058824,1.17647058823529,0,0,0,1.17647058823529,47.0588235294118,52.9411764705882,30.5882352941176,27.2251349685624,25.5491603520564,9,1.03,1.03,625,625,1.03,1.03,1.03,157,625,62.5,8,23.7546987833084,27.0588235294118
"905DGUT1 2010-07-13",0,0,0,8.33333333333333,13.3333333333333,6.66666666666667,6.66666666666667,13.3333333333333,51.6666666666667,0,0,0,0,0,35,65,51.6666666666667,11.0409865282914,11.0409865282914,1.03,1.03,1.03,157,625,1.03,1.03,1.03,1.03,625,67.5,4,18.9296944860009,30
"905S01953 2009-04-29",0,0,0,5.71428571428571,11.4285714285714,0.952380952380952,0,1.9047619047619,78.0952380952381,1.9047619047619,0,0,0,0,18.0952380952381,81.9047619047619,80,3.41825588491054,3.41825588491054,1.03,1.03,1.03,1.03,625,9,1.03,1.03,625,2500,25,1,NA,10.4761904761905
"907S00577 2009-05-12",12.3809523809524,0,0,20,16.1904761904762,3.80952380952381,1.9047619047619,5.71428571428571,39.0476190476191,0.952380952380952,0,0,0,12.3809523809524,54.2857142857143,45.7142857142857,40,57.0288509084578,29.7816769053372,157,1.03,1.03,2500,5660,40,1.03,1.03,2500,2500,31.25,4,23.9356776939085,46.6666666666667
"907S01418 2009-05-12",4.76190476190476,0,0,25.7142857142857,13.3333333333333,7.61904761904762,6.66666666666667,1.9047619047619,40,0,0,0,0,4.76190476190476,58.0952380952381,41.9047619047619,40,52.8040369360957,41.7984003056367,157,1.03,1.03,2500,2500,1.03,1.03,1.03,40,531.399999999999,33.75,8,27.8708757358952,26.9230769230769
"907S01434 2009-05-13",28.5714285714286,0,0,0,7.61904761904762,7.61904761904762,5.71428571428571,8.57142857142857,35.2380952380952,4.76190476190476,0,1.9047619047619,0,28.5714285714286,49.5238095238095,48.5714285714286,40,38.7394941724217,4.99535805678559,40,1.03,1.03,5660,5660,9,1.03,1.03,40,157,45,8,26.1861468283191,56.1904761904762
"907SRSD1x 2008-04-11",5,11,0,0,5,10,16,28,22,2,0,1,0,16,47,52,24,29.540846793845,10.7261402713498,9,1.03,9,157,5660,24.5,1.03,9,69.25,157,50,10,29.8142396999972,25
"907SRSD1x 2008-07-02",15.3846153846154,3.07692307692308,0,0,3.07692307692308,16.9230769230769,20,29.2307692307692,10.7692307692308,0,0,1.53846153846154,0,18.4615384615385,58.4615384615385,40,10.7692307692308,60.0561982263276,21.0358322584135,40,3.42100000000001,9,157,5660,9,9,9,40,145.3,67.7272727272727,11,18.6230551150498,32.3076923076923
"907SRSD1x 2008-07-09",23.3333333333333,0,0,0,0,10,20,40,3.33333333333333,0,0,0,3.33333333333333,23.3333333333333,53.3333333333333,43.3333333333333,3.33333333333333,72.4063399886369,18.0902987210298,40,9,9,157,5660,9,1.03,1.03,9,40,10,3,0,40
"907SRSD1x 2010-05-04",10,11,0,0,3,4,9,30,25,1,0,0,7,21,37,56,26,30.3375979360253,6.60167661348029,9,1.03,1.03,625,5660,1.03,1.03,1.03,9,40,42.5,4,28.7228132326901,31.9587628865979
"907SRSD1x 2010-06-01",0,17.1428571428571,0,0,0.952380952380952,5.71428571428571,10.4761904761905,23.8095238095238,40.9523809523809,0.952380952380952,0,0,0,17.1428571428571,34.2857142857143,65.7142857142857,41.9047619047619,15.178762451724,4.45846453077383,9,1.03,1.03,40,5660,1.03,0.03,1.03,40,625,59.1666666666667,6,20.1038968030247,21.9047619047619
"907SRSD1x 2010-06-15",0,23.8095238095238,0,0,9.52380952380952,2.85714285714286,7.61904761904762,9.52380952380952,33.3333333333333,11.4285714285714,0,1.9047619047619,0,23.8095238095238,43.8095238095238,54.2857142857143,44.7619047619048,19.511777003007,3.16976976780419,9,0.03,1.03,625,5660,9,0.03,1.03,9,121.9,33.3333333333333,3,25.1661147842358,20
"907SRSD1x 2010-06-29",0,27.6190476190476,0,0,0,7.61904761904762,9.52380952380952,19.047619047619,23.8095238095238,10.4761904761905,0,1.9047619047619,0,27.6190476190476,44.7619047619048,53.3333333333333,34.2857142857143,25.6142379251964,3.08855659689653,9,0.230000000000001,1.03,5660,5660,9,0.03,1.03,16.75,40,61.875,8,28.0226311602401,41.9047619047619
"907SRSD1x 2010-07-13",0,26.6666666666667,0,0,0,4.76190476190476,13.3333333333333,21.9047619047619,23.8095238095238,8.57142857142857,0,0.952380952380952,0,26.6666666666667,44.7619047619048,54.2857142857143,32.3809523809524,25.9382316088538,3.56655709802419,9,1.03,1.03,5660,5660,157,1.03,1.03,157,625,50,5,42.8660704987056,37.1428571428571
"911NCPCR2 2010-04-28",16.1904761904762,5.71428571428571,0,2.85714285714286,12.3809523809524,21.9047619047619,2.85714285714286,10.4761904761905,15.2380952380952,6.66666666666667,0,1.9047619047619,3.80952380952381,21.9047619047619,61.9047619047619,32.3809523809524,21.9047619047619,79.634125171443,21.9134677036103,157,1.03,9,2500,5660,40,0.03,1.03,157,625,54.3181818181818,22,25.7411776169667,46.6666666666667
