"","XCDENMID.result","XCDENMID.count","XCDENMID.sd","XCDENBK.result","XCDENBK.count","XCDENBK.sd"
"SMC01155 2009-05-12",49.4652406417112,44,35.1414431935097,NA,0,NA
"SMC01158 2009-05-20",82.8877005347594,44,24.2641170369435,NA,0,NA
"SMC01172 2009-06-24",90.24064171123,44,10.0648242369506,NA,0,NA
"SMC01174 2011-07-20",78.3422459893048,44,15.1584388617602,NA,0,NA
"SMC01196 2010-07-14",21.7914438502674,44,30.8037118824204,NA,0,NA
"SMC01208 2010-06-08",0,44,0,NA,0,NA
"SMC01215 2011-07-13",16.8449197860963,44,27.6661432251448,NA,0,NA
"SMC01248 2011-07-26",90.0735294117647,32,13.1480362078272,NA,0,NA
"SMC01257 2011-06-16",66.5775401069519,44,34.0589316753367,NA,0,NA
"SMC01258 2009-05-27",87.0320855614973,44,10.5058005072423,NA,0,NA
"SMC01278 2009-06-17",0,44,0,NA,0,NA
"SMC01320 2010-06-07",36.4973262032086,44,32.3331501574785,NA,0,NA
"SMC01341 2009-06-22",3.47593582887701,44,8.15459600071953,NA,0,NA
"SMC01358 2011-06-21",1.7379679144385,44,3.92648822952542,NA,0,NA
"SMC01367 2011-06-23",95.7219251336899,44,12.4534143652751,NA,0,NA
"SMC01372 2010-07-13",17.6470588235294,44,25.6248853055389,NA,0,NA
"SMC01383 2010-06-01",62.4331550802139,44,36.0434791285409,NA,0,NA
"SMC01384 2009-06-29",76.3368983957219,44,27.8082339926163,NA,0,NA
"SMC01424 2009-07-01",79.4117647058824,44,20.1187430202029,NA,0,NA
"SMC01452 2010-07-15",2.40641711229947,44,11.854525922728,NA,0,NA
"SMC01504 2011-06-28",97.8609625668449,44,4.59004297949898,NA,0,NA
"SMC01512 2010-06-23",25.1336898395722,44,27.9489480548819,NA,0,NA
"SMC01523 2011-07-07",0,44,0,NA,0,NA
"SMC01544 2010-07-14",19.9197860962567,44,19.78462569783,NA,0,NA
"SMC01550 2009-06-25",70.1871657754011,44,19.3811775464753,NA,0,NA
"SMC01555 2011-06-23",85.0267379679144,44,19.4663885707069,NA,0,NA
"SMC01559 2011-06-21",0,44,0,NA,0,NA
"SMC01567 2010-06-09",6.55080213903743,44,15.9067001450635,NA,0,NA
"SMC01606 2009-05-26",28.0748663101604,44,16.0400859984424,NA,0,NA
"SMC01640 2009-06-29",37.7005347593583,44,21.0498640394993,NA,0,NA
"SMC01655 2011-07-06",0,44,0,NA,0,NA
"SMC01676 2010-07-03",18.8502673796791,44,22.1402344663162,NA,0,NA
"SMC01684 2009-06-03",0,44,0,NA,0,NA
"SMC01692 2011-06-20",20.9893048128342,44,38.9447538925844,NA,0,NA
"SMC01694 2010-06-28",0,44,0,NA,0,NA
"SMC01716 2010-06-08",0,44,0,NA,0,NA
"SMC01717 2009-05-28",90.7754010695187,44,12.9621597868794,NA,0,NA
"SMC01726 2010-06-30",0.802139037433155,44,3.71835979308504,NA,0,NA
"SMC01748 2009-06-03",72.3262032085562,44,33.0470144930216,NA,0,NA
"SMC01808 2011-06-13",36.2299465240642,44,36.5693728968388,NA,0,NA
"SMC01860 2009-05-28",10.7843137254902,42,23.1649195470838,NA,0,NA
"SMC01909 2009-06-09",79.2780748663102,44,20.5535622186005,NA,0,NA
"SMC01923 2011-07-12",0,44,0,NA,0,NA
"SMC01960 2010-06-23",0.668449197860963,44,3.63629962561714,NA,0,NA
"SMC01972 2010-06-07",0,44,0,NA,0,NA
"SMC01979 2011-07-14",99.0641711229947,44,5.37380097254665,NA,0,NA
"SMC01990 2009-05-21",65.9090909090909,44,24.2562015675138,NA,0,NA
