"","NFC_DLU.result","NFC_EFR.result","NFC_ERN.result","RBP_CHN.result","RBP_EPI.result","RBP_SED.result"
"SMC00180 2010-06-18","Agriculture","NO","NO","20","20","20"
"SMC00191 2010-07-12","Agriculture","NO","NO",NA,NA,NA
"SMC00198 2009-05-20","Urban/Industrial","NO","NO","18","16","13"
"SMC00206 2009-05-18","Other","NO","NO","10","9","12"
"SMC00271 2009-06-04","Forest","NO","NO","18","15","16"
"SMC00282 2009-06-09","Agriculture","< 5 year","NO","19","15","10"
"SMC00288 2009-06-18","Suburban, Town","NO","NO","14","16","13"
"SMC00318 2010-06-15","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00324 2010-06-21","Agriculture","NO","NO","10","6","3"
"SMC00345 2011-07-19","Suburban, Town","NO","NO",NA,NA,NA
"SMC00375 2010-06-08","Forest","NO","NO","19","11","9"
"SMC00382 2009-06-23","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00428 2010-07-22","Forest","< 1 year","NO","20","5","2"
"SMC00428 2011-08-03","Forest","< 5 years","NO","20","13","13"
"SMC00436 2009-05-26","Urban/Industrial","NO","NO","1","2","16"
"SMC00440 2009-05-20","Other","NO","NO","8","10","8"
"SMC00446 2010-07-01","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00457 2009-06-04","Urban/Industrial","NO","NO","19","17","13"
"SMC00464 2009-05-08","Forest","NO","NO","17","19","16"
"SMC00473 2009-06-03","Urban/Industrial","< 5 year","NO","13","14","12"
"SMC00476 2009-06-08","Forest","NO","NO","20","18","20"
"SMC00479 2011-07-13","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00480 2009-05-13","Forest","NO","NO","20","15","19"
"SMC00520 2009-05-19","Forest","NO","NO","17","13","12"
"SMC00520 2011-08-05","Forest","< 5 years","NO","18","10","13"
"SMC00531 2009-05-18","Urban/Industrial","NO","NO","1","1","14"
"SMC00544 2011-06-22","Forest","NO","NO","15","14","12"
"SMC00608 2011-06-27","Suburban, Town","NO","NO","1","1","19"
"SMC00632 2011-06-13","Suburban, Town","NO","NO",NA,NA,NA
"SMC00665 2011-07-27","Suburban, Town","NO","NO",NA,NA,NA
"SMC00670 2009-05-21","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00684 2011-06-27","Urban/Industrial","NO","NO",NA,NA,NA
"SMC00686 2011-06-27","Suburban, Town","NO","NO","12","10","9"
