"","W1H_BRDG.result","W1H_BRDG.count","W1H_BRDG.sd","W1H_BLDG.result","W1H_BLDG.count","W1H_BLDG.sd","W1H_LDFL.result","W1H_LDFL.count","W1H_LDFL.sd","W1H_LOG.result","W1H_LOG.count","W1H_LOG.sd","W1H_MINE.result","W1H_MINE.count","W1H_MINE.sd","W1H_ORVY.result","W1H_ORVY.count","W1H_ORVY.sd","W1H_PARK.result","W1H_PARK.count","W1H_PARK.sd","W1H_PSTR.result","W1H_PSTR.count","W1H_PSTR.sd","W1H_PVMT.result","W1H_PVMT.count","W1H_PVMT.sd","W1H_PIPE.result","W1H_PIPE.count","W1H_PIPE.sd","W1H_ROAD.result","W1H_ROAD.count","W1H_ROAD.sd","W1H_CROP.result","W1H_CROP.count","W1H_CROP.sd","W1H_VEGM.result","W1H_VEGM.count","W1H_VEGM.sd","W1H_WALL.result","W1H_WALL.count","W1H_WALL.sd","W1_HALL_EMAP.result","W1_HALL_SWAMP.result"
"911S04086 2009-05-06",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"911TJPC2 2010-04-27",0,10,0,0.2584,10,0.69599916985902,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1.4,10,0.632455532033676,0.10005,10,0.322191609656945,0,10,0,0.5419,10,0.573553019926377,0,10,0,0,10,0,0.0667,10,0.281231893244308,0.2584,0.2584
"911TJPC2 2010-05-24",0,11,0,0,11,0,0.136363636363636,11,0.904534033733291,0,11,0,0,11,0,0,11,0,0,11,0,1,11,0,0,11,0,0,11,0,0.667,11,0,0,11,0,0,11,0,0,11,0,0.136363636363636,0.136363636363636
"911TJPC2 2010-06-14",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1,11,0,0,11,0,0,11,0,0.667,11,0,0,11,0,0,11,0,0,11,0,0,0
"911TJPC2 2010-07-01",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1,11,0,0,11,0,0,11,0,0.667,11,0,0,11,0,0,11,0,0,11,0,0,0
"911TJPC2 2010-07-19",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"LALT500 2009-06-22",0,11,0,0.0303181818181818,11,0.201108066833368,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.212227272727273,11,0.449691308262982,0.204545454545455,11,0.970004686024295,0.272727272727273,11,1.21355975243384,0,11,0,0,11,0,1.5,11,0,0.0303181818181818,0.0303181818181818
"LALT500 2010-07-15",0,11,0,0.0909545454545455,11,0.311555277453442,0,11,0,0,11,0,0,11,0,0.3335,11,0,0.0606363636363636,11,0.269814784957789,0,11,0,0.924272727272727,11,0.345142394856489,0.136363636363636,11,0.606779876216918,0,11,0,0,11,0,0,11,0,1.5,11,0,0.0909545454545455,0.0909545454545455
"LALT501 2010-07-15",0,11,0,0,11,0,1.5,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,1.5,1.5
"LALT-501 2009-06-22",0,11,0,0.3335,11,0,0.477272727272727,11,0.756787468664269,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.3335,11,0,0,11,0,0,11,0,1.5,11,0,0.810772727272727,0.810772727272727
"LALT502 2009-06-22",0.136363636363636,11,0.904534033733291,0.606363636363636,11,0.402216133666737,0.340909090909091,11,0.78334945180064,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.757727272727273,11,0.602922277517818,0.136363636363636,11,0.606779876216918,0,11,0,0,11,0,0,11,0,1.09090909090909,11,0.404519917477945,0.947272727272727,0.947272727272727
"LALT502 2010-07-15",0.386363636363636,11,1.32972997942508,0,11,0,1.38640909090909,11,0.538675935638825,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0909545454545455,11,0.43132875038547,0,11,0,0,11,0,0,11,0,0,11,0,0.553272727272727,11,0.54932474250417,1.38640909090909,1.38640909090909
"LALT503 2010-07-15",0,11,0,0.454772727272727,11,0.336518161066045,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.984863636363636,11,0.100403277744395,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0,11,0,1.43181818181818,11,0.452267016866645,0.454772727272727,0.454772727272727
"LAR0052 2010-07-08",0,11,0,0,11,0,0.113636363636364,11,0.517862740677313,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.113636363636364,0.113636363636364
"LAR0080 2010-07-08",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"LAR0092 2010-07-27",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.181818181818182,11,0.504524979109513,0,0
"LB_RA 2010-05-26",0,11,0,0,11,0,0.280318181818182,11,0.688290966485435,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0,11,0,1,11,0,0,11,0,0,11,0,1,11,0,0.280318181818182,0.280318181818182
"LB_RA1 2010-05-26",0,11,0,0,11,0,0.591,11,0.607597564182083,0,11,0,0,11,0,0,11,0,0.242545454545455,11,0.311555277453442,0,11,0,1.47727272727273,11,0.150755672288882,0.0303181818181818,11,0.201108066833368,0.984863636363636,11,0.100403277744395,0,11,0,0,11,0,1,11,0,0.591,0.591
"LC_R31 2010-05-25",0,11,0,0.0606363636363636,11,0.269814784957789,0.0454545454545455,11,0.301511344577764,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0,11,0,1,11,0,0,11,0,0,11,0,1,11,0,0.106090909090909,0.106090909090909
"LC_R4 2010-05-25",0,11,0,0.303181818181818,11,0.201108066833368,0.340909090909091,11,1.03132747642849,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0,11,0,1,11,0,0,11,0,0,11,0,1,11,0,0.644090909090909,0.644090909090909
"LC_R5 2010-05-25",0,11,0,0,11,0,0.75,11,1.5,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0.0454545454545455,11,0.301511344577764,1,11,0,0,11,0,0,11,0,1,11,0,0.75,0.75
