"","PBM_S.result","PBM_V.result","PBM_E.result"
"SMC04749 2009-06-23",68.1818181818182,31.8181818181818,0
"SMC04756 2010-07-07",36.3636363636364,63.6363636363636,0
"SMC04795 2011-07-14",81.8181818181818,18.1818181818182,0
"SMC04932 2010-07-12",45.4545454545455,36.3636363636364,18.1818181818182
"SMC05109 2009-06-23",100,0,0
"SMC05199 2011-07-06",18.1818181818182,68.1818181818182,13.6363636363636
"SMC05243 2010-06-10",86.3636363636364,13.6363636363636,0
"SMC05402 2011-07-28",100,0,0
"SMC05407 2011-07-21",77.2727272727273,9.09090909090909,13.6363636363636
"SMC05524 2011-06-30",100,0,0
"SMC05702 2010-06-07",4.54545454545455,27.2727272727273,68.1818181818182
"SMC05759 2010-06-21",86.3636363636364,13.6363636363636,0
"SMC06019 2010-06-17",100,0,0
"SMC06216 2009-05-26",68.1818181818182,31.8181818181818,0
"SMC06458 2010-06-06",100,0,0
"SMC06467 2010-06-28",50,40.9090909090909,9.09090909090909
"SMC06653 2010-07-01",36.3636363636364,45.4545454545455,18.1818181818182
"SMC06714 2010-06-06",100,0,0
"SMC06863 2011-07-21",63.6363636363636,31.8181818181818,4.54545454545455
"SMC06926 2009-07-01",100,0,0
"SMC08150 2010-06-03",0,13.6363636363636,86.3636363636364
"SMC08335 2010-07-07",80,20,0
"SMC08426 2010-06-08",4.54545454545455,45.4545454545455,50
"SMC08766 2009-05-26",100,0,0
"SMC08845 2009-06-22",81.8181818181818,18.1818181818182,0
"SMC09162 2011-08-01",77.2727272727273,18.1818181818182,4.54545454545455
"SMC09286 2010-06-09",9.09090909090909,72.7272727272727,18.1818181818182
"SMC09534 2009-06-17",100,0,0
"SMC09564 2010-06-01",0,95.4545454545455,4.54545454545455
"SMC09591 2010-06-03",0,100,0
"SMC09698 2010-06-09",0,100,0
"SMC10146 2011-06-28",81.8181818181818,18.1818181818182,0
"SMC10189 2010-06-24",63.6363636363636,36.3636363636364,0
"SMC10685 2010-07-01",72.7272727272727,22.7272727272727,4.54545454545455
"SMC11394 2011-06-30",100,0,0
"SMC11581 2009-06-29",100,0,0
"SMC11727 2010-06-09",100,0,0
"SMC12862 2011-06-27",100,0,0
"SMC15677 2009-06-29",100,0,0
