"","PCT_CF.result","PCT_CF.count","PCT_CF.sd","PCT_DR.result","PCT_DR.count","PCT_DR.sd","PCT_GL.result","PCT_GL.count","PCT_GL.sd","PCT_POOL.result","PCT_POOL.count","PCT_POOL.sd","PCT_RA.result","PCT_RA.count","PCT_RA.sd","PCT_RI.result","PCT_RI.count","PCT_RI.sd","PCT_RN.result","PCT_RN.count","PCT_RN.sd","PCT_FAST.result","PCT_SLOW.result","PCT_CF_WT.result","PCT_CF_WT.count","PCT_GL_WT.result","PCT_GL_WT.count","PCT_POOL_WT.result","PCT_POOL_WT.count","PCT_RA_WT.result","PCT_RA_WT.count","PCT_RI_WT.result","PCT_RI_WT.count","PCT_RN_WT.result","PCT_RN_WT.count","PCT_FAST_WT.result","PCT_SLOW_WT.result"
"905DGUT1 2010-05-13",6,10,8.43274042711568,0,10,0,35.5,10,23.6231995198694,20.5,10,19.500712237705,0,10,0,38,10,27.3048632216965,0,10,0,44,56,6,10,35.5,10,20.5,10,0,10,38,10,0,10,44,56
"905DGUT1 2010-06-02",2,10,3.4960294939005,0,10,0,29.5,10,15.5366949152286,5,10,5.2704627669473,0,10,0,63.5,10,20.0069432392302,0,10,0,65.5,34.5,2,10,29.5,10,5,10,0,10,63.5,10,0,10,65.5,34.5
"905DGUT1 2010-06-16",0,10,0,0,10,0,39,10,12.8668393770792,1,10,3.16227766016838,0,10,0,60,10,11.5470053837925,0,10,0,60,40,0,10,39,10,1,10,0,10,60,10,0,10,60,40
"905DGUT1 2010-06-29",0,10,0,16,10,35.0238014308365,52,10,30.1109061083632,0,10,0,0,10,0,32,10,26.1618891604648,0,10,0,32,52,0,10,43.68,10,0,10,0,10,26.88,10,0,10,26.88,43.68
"905DGUT1 2010-07-13",0,10,0,49.5,10,52.1988718481752,25.5,10,26.7135005401971,0,10,0,0,10,0,25,10,27.1825107171668,0,10,0,25,25.5,0,10,12.8775,10,0,10,0,10,12.625,10,0,10,12.625,12.8775
"905S01953 2009-04-29",1,10,3.16227766016838,0,10,0,74.5,10,31.8372597927509,0,10,0,0,10,0,24.5,10,29.6694755224587,0,10,0,25.5,74.5,1,10,74.5,10,0,10,0,10,24.5,10,0,10,25.5,74.5
"907S00577 2009-05-12",2,10,4.21637021355784,0,10,0,83,10,17.0293863659264,0,10,0,0,10,0,15,10,15.8113883008419,0,10,0,17,83,2,10,83,10,0,10,0,10,15,10,0,10,17,83
"907S01418 2009-05-12",3.5,10,4.74341649025257,0,10,0,36,10,20.6559111797729,15,10,14.3372087784044,5,10,7.07106781186548,18,10,10.0554020859989,22.5,10,16.2018517460196,49,51,3.5,10,36,10,15,10,5,10,18,10,22.5,10,49,51
"907S01434 2009-05-13",2,10,4.21637021355784,0,10,0,59,10,15.2388392675499,6,10,12.4275679215382,0,10,0,33,10,17.9814719456816,0,10,0,35,65,2,10,59,10,6,10,0,10,33,10,0,10,35,65
"907SRSD1x 2008-04-11",4,10,12.6491106406735,5,10,8.16496580927726,7,10,16.3639169448448,8,10,16.1932770686548,0,10,0,76,10,31.0733898304571,0,10,0,80,15,3.8,10,6.65,10,7.6,10,0,10,72.2,10,0,10,76,14.25
