"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"SMC00520 2009-05-19",196,8.75,8.11,0.23,414,18.48,65.264,NA
"SMC00520 2011-08-05",198,8.86,8.08,0.2,424,16.84,62.312,NA
"SMC00531 2009-05-18",250,8.86,7.92,NA,2028,17.46,63.428,NA
"SMC00544 2011-06-22",304,8.31,7.93,0.36,742,15.54,59.972,NA
"SMC00608 2011-06-27",178,10.95,8.61,0.32,651,18.05,64.49,NA
"SMC00632 2011-06-13",4520,11.5,7.8,1.93,3681,26.35,79.43,NA
"SMC00665 2011-07-27",288,8.11,7.86,1.27,2456,18.69,65.642,5.3
"SMC00670 2009-05-21",135,9.03,7.94,NA,1382,19.13,66.434,NA
"SMC00684 2011-06-27",104,9.7,8.74,0.14,288,27,80.6,NA
"SMC00686 2011-06-27",346,5.04,7.13,0.77,1523,18.93,66.074,NA
"SMC00693 2010-05-31",176,9.32,8,1.44,2763,15.07,59.126,1.6
"SMC00702 2011-07-19",190,20.42,8.61,0.76,1541,31.68,89.024,NA
"SMC00710 2009-05-20",200,7.19,7.57,1.2,2316,18.68,65.624,10.8
"SMC00729 2009-06-03",344,6.53,7.9,0.46,1745,18.29,64.922,24.4
"SMC00748 2011-06-21",120,10.11,10.8,0.36,749,33.55,92.39,NA
"SMC00756 2009-06-23",NA,7.57,8.15,0.81,1601,16.6,61.88,12.8
"SMC00766 2011-07-11",225,7.72,7.78,0.72,1442,20.81,69.458,NA
"SMC00791 2011-06-22",NA,7.59,7.05,0.21,437,26.08,78.944,NA
"SMC00827 2009-06-15",185,9.07,7.99,0.43,718,17.17,62.906,NA
"SMC00830 2011-06-21",167,16.62,9.14,0.77,1534,24.24,75.632,NA
"SMC00857 2011-07-13",288,7.91,7.6,1.26,2444,20.05,68.09,3.7
"SMC00873 2009-05-19",186,8.96,7.8,NA,1211,22.03,71.654,NA
"SMC00899 2011-07-12",105,13.65,10.34,0.85,1706,33.14,91.652,NA
"SMC00903 2011-07-06",NA,13.6,4.53,0.05,104,11.05,51.89,NA
"SMC00910 2009-04-30",147,10.43,7.67,1.45,2791,18.38,65.084,NA
"SMC00911 2009-06-04",247,8.01,8.12,0.47,742,13.78,56.804,NA
"SMC00921 2010-06-02",328,6.15,7.92,1.08,2104,17.23,63.014,1.5
"SMC00924 2009-06-09",202,8.67,8.2,0.22,356,13.51,56.318,NA
"SMC00924 2011-06-20",NA,9.8,8.05,0.18,374,13.77,56.786,NA
"SMC00926 2010-06-28",344,9.55,7.61,0.92,1819,21.48,70.664,NA
"SMC00957 2010-06-21",310,9.7,8.51,0.6,1188,20.9,69.62,NA
"SMC00958 2011-07-19",160,21.43,8.19,0.46,931,25.12,77.216,NA
"SMC00963 2010-06-17",211,10.31,8.23,0.57,1140,18.05,64.49,NA
"SMC01004 2009-05-26",182,9.39,8.21,0.5,823,15.77,60.386,NA
"SMC01013 2010-06-24",150,6.1,8.86,0.6,1227,29.7,85.46,NA
