"","FL_N_F.result","FL_N_M.result","FL_Q_F.result","FL_Q_M.result","FL_F.result","FL_M.result","MWVM_F.result","MWVM_M.result","XWV_F.result","XWV_M.result","PWVZ.result"
"SMCR8_558 2011-08-08",0.00648982612193023,0.229186046511628,NA,NA,0.00648982612193023,0.229186046511628,0.697674418604651,0.212651162467468,0.697674418604651,0.212651162467468,0
"SMCR8_566 2011-06-15",0.0059839449839233,0.211321022727273,NA,NA,0.0059839449839233,0.211321022727273,0.892857142857143,0.2721428567292,0.852272727272727,0.259772726877873,0
"SMCR8_593 2011-06-13",0.000470956373523729,0.0166316673666527,NA,NA,0.000470956373523729,0.0166316673666527,0.156331422615946,0.0476498175409126,0.125997480050399,0.0384040318609875,0
"SMCR8_598 2010-06-15",8.070301281e-05,0.00285,NA,NA,8.070301281e-05,0.00285,0.319148936170213,0.0972765955968204,0.208333333333333,0.06349999990348,0
"SMCR8_601 2009-06-24",0.000413832128930988,0.0146143437077131,NA,NA,0.000413832128930988,0.0146143437077131,0.40595399188092,0.123734776537228,0.40595399188092,0.123734776537228,0
"SMCR8_618 2011-07-19",0.00125029768833846,0.0441538461538462,NA,NA,0.00125029768833846,0.0441538461538462,0.887573964497041,0.270532543967489,0.854700854700855,0.260512820116841,0
"SMCR8_622 2011-06-16",0.000114234073086595,0.00403413821815154,NA,NA,0.000114234073086595,0.00403413821815154,0.3003003003003,0.0915315313924036,0.249791840133222,0.0761365527568786,0
"SMCR8_629 2011-07-14",0.0018689118756,0.066,NA,NA,0.0018689118756,0.066,1.02389078498294,0.312081910788434,0.923076923076923,0.281353845726188,0
"SMCR8_688 2009-07-01",0.000171899915830588,0.00607058823529412,NA,NA,0.000171899915830588,0.00607058823529412,0.142857142857143,0.043542857076672,0.0882352941176471,0.0268941176061798,0
"102PS0139 2010-07-15",NA,NA,NA,NA,NA,NA,0,0,0,0,100
"403S00640 2009-06-11",NA,NA,1.200606566016,0.0339973919568278,1.200606566016,0.0339973919568278,1.12,0.341375999481108,0.406923076923077,0.124030153657628,23.0769230769231
"403S00772 2009-05-20",NA,NA,4.06014700288,0.114970559854003,4.06014700288,0.114970559854003,0.63,0.192023999708124,0.149333333333333,0.0455167999308145,46.6666666666667
"403S01163 2009-06-08",NA,NA,31.2261040704,0.884224798877152,31.2261040704,0.884224798877152,0.49,0.149351999772985,0.159166666666667,0.0485139999262587,33.3333333333333
"403S01195 2009-06-10",NA,NA,1.39285000576,0.039441119949915,1.39285000576,0.039441119949915,0.07,0.0213359999675693,0.0185714285714286,0.00566057141996736,21.4285714285714
"403S01272 2009-06-09",NA,NA,4.7509532445312,0.134532014229162,4.7509532445312,0.134532014229162,1.36,0.414527999369917,0.649333333333333,0.197916799699166,13.3333333333333
"403S01784 2009-06-09",NA,NA,29.6983176838656,0.84096270613209,29.6983176838656,0.84096270613209,2.51,0.765047998837127,0.935333333333333,0.285089599566664,26.6666666666667
"403S03832 2009-06-08",NA,NA,1.06481983632,0.0301523399617106,1.06481983632,0.0301523399617106,0.13,0.0396239999397715,0.062,0.0188975999712756,13.3333333333333
"403S14156 2009-06-09",NA,NA,3.60339553453056,0.102036798590427,3.60339553453056,0.102036798590427,1.82,0.554735999156801,0.47,0.143255999782251,18.75
"404S02920 2009-05-12",NA,NA,0.1323530422784,0.00374782079524077,0.1323530422784,0.00374782079524077,0.03,0.00914399998610112,0.01,0.00304799999536704,58.3333333333333
"404S03048 2009-05-13",NA,NA,0,0,0,0,0.45,0.137159999791517,0.0645454545454545,0.0196734545155509,45.4545454545455
"404S05992 2009-05-12",NA,NA,1.094474409472,0.0309920639606442,1.094474409472,0.0309920639606442,0.1,0.0304799999536704,0.0454545454545455,0.0138545454334865,9.09090909090909
"404S06456 2009-05-14",NA,NA,1.1924690497536,0.0337669631571205,1.1924690497536,0.0337669631571205,0.89,0.271271999587667,0.129090909090909,0.0393469090311018,36.3636363636364
"404S08040 2009-05-12",NA,NA,0.513869082496,0.014551151981522,0.513869082496,0.014551151981522,0.1,0.0304799999536704,0.03,0.00914399998610112,54.5454545454545
"404S08616 2009-05-13",NA,NA,1.239356643456,0.0350946719554344,1.239356643456,0.0350946719554344,0.16,0.0487679999258726,0.0390909090909091,0.0119149090727984,45.4545454545455
